t =1, f_best=0.589808
t =10, f_best=0.589808
t =20, f_best=0.589808
t =30, f_best=0.589808
t =40, f_best=0.589808
t =50, f_best=0.589808
t =60, f_best=0.589808
t =70, f_best=0.589808
t =80, f_best=0.589808
t =90, f_best=0.589808
t =100, f_best=0.589808
t =110, f_best=0.589808
t =120, f_best=0.589808
t =130, f_best=0.589808
t =140, f_best=0.589808
t =150, f_best=0.589808
t =160, f_best=0.589808
t =170, f_best=0.589808
t =180, f_best=0.589808
t =190, f_best=0.589808
t =200, f_best=0.589808
t =210, f_best=0.589808
t =220, f_best=0.589808
t =230, f_best=0.589808
t =240, f_best=0.589808
t =250, f_best=0.589808
t =260, f_best=0.589808
t =270, f_best=0.589808
t =280, f_best=0.589808
t =290, f_best=0.589808
t =300, f_best=0.589808
t =310, f_best=0.589808
t =320, f_best=0.589808
t =330, f_best=0.589808
t =340, f_best=0.589808
t =350, f_best=0.589808
t =360, f_best=0.589808
t =370, f_best=0.589808
t =380, f_best=0.589808
t =390, f_best=0.589808
t =400, f_best=0.589808
t =410, f_best=0.589808
t =420, f_best=0.589808
t =430, f_best=0.589808
t =440, f_best=0.589808
t =450, f_best=0.589808
t =460, f_best=0.589808
t =470, f_best=0.589808
t =480, f_best=0.589808
